Last,First,Email,Year,Majors,Minors,GECs,Advisor
Beaniebag,Gumbs,gbeanieb@bates.edu,2027,"PHIL,ECON",DCS,,"Shrout, Anelise"
Beaniehall,Zoozy,zbeanieh@bates.edu,2027,GSS,DCS,C038,"Shrout, Anelise"
Blubberseed,Peabs,pblubber@bates.edu,2027,0000,DCS,,"Lawson, Barry"
Bobohair,Gooster,gbobohai@bates.edu,2027,ECON,"DCS,MATH",,"Lawson, Barry"
Boogerbrain,Chewlu,cboogerb@bates.edu,2027,"PLTC,HISP",DCS,,"Shrout, Anelise"
Boogerwhistle,Coobuns,cboogerw@bates.edu,2027,NRSC,DCS,,"Lawson, Barry"
Boombottom,Tummoo,tboombot@bates.edu,2027,BIO,DCS,,"Eaton, Carrie"
Chewbrain,Poopfy,pchewbra@bates.edu,2027,ECON,"MATH,DCS",C031,"Lawson, Barry"
Chewgold,Sniffeenie,schewgol@bates.edu,2027,NRSC,DCS,,"Shrout, Anelise"
Chewshine,Bushwee,bchewshi@bates.edu,2027,0000,DCS,,"Lawson, Barry"
Droopyface,Shoospitz,sdroopyf@bates.edu,2027,ECON,DCS,C013,"Shrout, Anelise"
Gloomhall,Burberry,bgloomha@bates.edu,2027,HIST,DCS,,"Shrout, Anelise"
Gloomman,Bofy,bgloomma@bates.edu,2027,PLTC,DCS,C042,"Lawson, Barry"
Gloomshine,Sniffwee,sgloomsh@bates.edu,2027,"ECON,MATH",DCS,,"Lawson, Barry"
HippySmittens,Snifflu,shippysm@bates.edu,2027,0000,DCS,,"Lawson, Barry"
Hobobag,Buzzwee,bhobobag@bates.edu,2027,MATH,"DCS,PHYS",C034,"Lawson, Barry"
Hobogold,Zoobo,zhobogol@bates.edu,2027,HIST,DCS,,"Lawson, Barry"
Hoboman,Shoofy,shoboman@bates.edu,2027,ECON,DCS,C034,"Lawson, Barry"
Hooperseed,Slugtu,shoopers@bates.edu,2027,MATH,DCS,,"Shrout, Anelise"
Messyhall,Gootu,gmessyha@bates.edu,2027,AVC,DCS,,"Shrout, Anelise"
Moaniman,Bumeenie,bmoanima@bates.edu,2027,MATH,DCS,C046,"Shrout, Anelise"
Mudman,Chewberry,cmudman@bates.edu,2027,MATH,DCS,,"Lawson, Barry"
Noodleborn,Buraboo,bnoodleb@bates.edu,2027,ENG,DCS,,"Eaton, Carrie"
Noodlebrain,Stinkroid,snoodleb@bates.edu,2027,MATH,DCS,,"Lawson, Barry"
Noodlehill,Ratspitz,rnoodleh@bates.edu,2027,0000,DCS,,"Shrout, Anelise"
Noodleshine,Stinkroid,snoodles@bates.edu,2027,PLTC,DCS,C013,"Shrout, Anelise"
Noseface,Buritt,bnosefac@bates.edu,2027,ECON,DCS,,"Lawson, Barry"
Noseseed,Cooitt,cnosesee@bates.edu,2027,BIOC,DCS,,"Lawson, Barry"
Oinkhill,Barfberry,boinkhil@bates.edu,2027,ECON,DCS,,"Shrout, Anelise"
Oinkson,Peaman,poinkson@bates.edu,2027,"ECON,HIST",DCS,,"Shrout, Anelise"
Pimplehill,Bobuns,bpimpleh@bates.edu,2027,ECON,DCS,,"Shrout, Anelise"
Pimplehill,Sniffpants,spimpleh@bates.edu,2027,MATH,"DCS,CHI",,"Lawson, Barry"
Pottybag,Chewitt,cpottyba@bates.edu,2027,"THEA,NRSC",DCS,,"Eaton, Carrie"
Pottyworthy,Humster,hpottywo@bates.edu,2027,ECON,DCS,,"Shrout, Anelise"
Roachhall,Fartaloo,froachha@bates.edu,2027,BIOC,DCS,,"Lawson, Barry"
Roachson,Barfaboo,broachso@bates.edu,2027,NRSC,"DCS,MATH","C027,C005,C036,C031,C056","Eaton, Carrie"
Roachson,Bugeenie,broachs1@bates.edu,2027,AMST,DCS,,"Shrout, Anelise"
Roachworth,Hickwee,hroachwo@bates.edu,2027,ECON,DCS,C013,"Lawson, Barry"
Snotborn,Chewspitz,csnotbor@bates.edu,2027,ENVR,DCS,"C070,C007,C058,C068","Lawson, Barry"
Snotborn,Gootu,gsnotbor@bates.edu,2027,CHEM,"MATH,DCS",,"Lawson, Barry"
